"Number","ID","Name","Twitter","Status"
11,"58909","oreradio","oreradio","1"
11,"2269","manozo","manozo","1"
11,"30715","kimukou_26","kimukou_26","1"
11,"48818","gepuro","gepuro","1"
11,"17452","bob3","bob3bob3","1"
11,"5644","holidayworking","holidayworking","1"
11,"5026","itoyan",NA,"1"
11,"27645","carrion-crow","carrion_crow","1"
11,"51992","maitrikaruna","maitrikaruna","1"
11,"32770","sfchaos","sfchaos","1"
11,"42369","AntiBayesian","AntiBayesian","1"
11,"5923","yokkuns","yokkuns","1"
11,"21334","所沢義男",NA,"1"
11,"1462","yanaoki","yanaoki","1"
11,"42985","Nikoriks","Nikoriks","1"
11,"60410","あぐす",NA,"1"
11,"52524","mikado_hito","mikado_hito","1"
11,"15759","oshiro40",NA,"1"
11,"19175","aad34210",NA,"1"
11,"60433","taquito",NA,"1"
11,"47816","t-ohmae",NA,"1"
11,"60483","aika nojima","aikawildbird","1"
11,"46156","tetsuroito","tetsuroito","1"
11,"43404","hisawotakase","hisawotakase","1"
11,"31601","ishioka",NA,"1"
11,"52316","dubian100",NA,"1"
11,"60601","higashun","higashun","1"
11,"22279","hatappo",NA,"1"
11,"14399","yuga","yuga","1"
11,"11849","kamiyashumei","Shumei","1"
11,"50328","kawam","kawam999","1"
11,"38625","actuaryjp","actuaryjp","1"
11,"41462","mshino55","mshino55","1"
11,"17443","hamadakoichi","hamadakoichi","1"
11,"61162","pochi178","pochi178","1"
12,"17452","bob3","bob3bob3","1"
12,"58909","oreradio","oreradio","1"
12,"5923","yokkuns","yokkuns","1"
12,"42369","AntiBayesian","AntiBayesian","1"
12,"34678","fuzzysphere",NA,"1"
12,"5644","holidayworking","holidayworking","1"
12,"37557","水田孝信","takanobu_mizuta","1"
12,"49643","tatsushim","tatsushim","1"
12,"1462","yanaoki","yanaoki","1"
12,"24501","teramonagi","teramonagi","1"
12,"60601","higashun","higashun","1"
12,"21334","所沢義男",NA,"1"
12,"21084","SakaueTatsuya","sakaue","1"
12,"64312","@syoh11","syoh11","1"
12,"24186","langstat","langstat","1"
12,"64314","jalpiner","jalpiner","1"
12,"2269","manozo","manozo","1"
12,"50908","tsutatsuta","tsutatsuta","1"
12,"19175","aad34210",NA,"1"
12,"33870","cTnT",NA,"1"
12,"14867","karubi","karubi","1"
12,"32770","sfchaos","sfchaos","1"
12,"38700","miyatender","Miyatender","1"
12,"5026","itoyan",NA,"1"
12,"21764","halamy",NA,"1"
12,"17358","akiaki5516",NA,"1"
12,"43404","hisawotakase","hisawotakase","1"
12,"61964","sas20yen()","sas20yen","1"
12,"18849","hnisiji","hnz","1"
12,"15759","oshiro40",NA,"1"
12,"11849","kamiyashumei","Shumei","1"
12,"52524","mikado_hito","mikado_hito","1"
12,"64671","yst.oshrio",NA,"1"
12,"12254","matsuou1","matsuou1","1"
12,"42227","Yoshiaki Sakai",NA,"1"
12,"8174","hemge","hemge","1"
13,"19175","aad34210",NA,"1"
13,"5644","holidayworking","holidayworking","1"
13,"30715","kimukou_26","kimukou_26","1"
13,"24501","teramonagi","teramonagi","1"
13,"2269","manozo","manozo","1"
13,"48818","gepuro","gepuro","1"
13,"53209","yteruta311","yteruta311","1"
13,"61964","sas20yen()","sas20yen","1"
13,"21334","所沢義男",NA,"1"
13,"61925","suima8","suima8","1"
13,"34678","fuzzysphere",NA,"1"
13,"53153","mokjpn","mokjpn","1"
13,"12254","matsuou1","matsuou1","1"
13,"58909","oreradio","oreradio","1"
13,"5026","itoyan",NA,"1"
13,"14867","karubi","karubi","1"
13,"70092","marikod",NA,"1"
13,"17358","akiaki5516",NA,"1"
13,"50908","tsutatsuta","tsutatsuta","1"
13,"21097","rindai87","rindai87","1"
13,"5923","yokkuns","yokkuns","1"
